bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_lt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
BP716000000018;"CD71 ; PBO R - PT 601492USZ";71153/USZ/PT 601492;PT716000000096;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000100;"CD71 ; BPE - PT 601493USZ";71153/USZ/PT 601493;PT716000000026;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B144;BPE;RF000000000024;;;20;;;;;;29/08/2022 00:00;;;;
BP716000000076;"CD71 ; PBO - PT 601494USZ";71153/USZ/PT 601494;PT716000000154;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000077;"CD71 ; PBO - PT 601495USZ";71153/USZ/PT 601495;PT716000000177;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000080;"CD71 ; PBO - PT 601496USZ";71153/USZ/PT 601496;PT716000000178;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000082;"CD71 ; PBO - PT 601497USZ";71153/USZ/PT 601497;PT716000000111;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000083;"CD71 ; PBO - PT 601498USZ";71153/USZ/PT 601498;PT716000000112;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000085;"CD71 ; PBO - PT 601499USZ";71153/USZ/PT 601499;PT716000000202;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000060;"CD71 ; PBO - PT 601500USZ";71153/USZ/PT 601500;PT716000000021;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000066;"CD71 ; PBO - PT 601501USZ";71153/USZ/PT 601501;PT716000000109;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000067;"CD71 ; PBO - PT 601502USZ";71153/USZ/PT 601502;PT716000000145;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000061;"CD71 ; PBO - PT 601503USZ";71153/USZ/PT 601503;PT716000000203;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000078;"CD71 ; PBO - PT 601504USZ";71153/USZ/PT 601504;PT716000000132;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000079;"CD71 ; PBO - PT 601505USZ";71153/USZ/PT 601505;PT716000000133;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000081;"CD71 ; PBO - PT 601506USZ";71153/USZ/PT 601506;PT716000000174;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000084;"CD71 ; PBO - PT 601507USZ";71153/USZ/PT 601507;PT716000000172;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000056;"CD71 ; PBO - PT 601508USZ";71153/USZ/PT 601508;PT716000000115;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
